details_id,Company,Level,Total_Applicants,Industry,Class,Job_skills 
dt_163,Tata Consultancy Services,Mid-Senior level,22,IT Services and IT Consulting ,Class2,Network Security
dt_164,Microsoft,Mid-Senior level,69,IT Services and IT Consulting ,Class2,Internal Communications
dt_165,Novo Nordisk,Mid-Senior level,87,IT Services and IT Consulting ,Class3,Business Understanding
dt_166,Purplle.com,Mid-Senior level,100,IT Services and IT Consulting ,Class3,SAP Products
dt_167,Tech Mahindra,Director,100,Outsourcing and Offshoring Consulting ,Class2,Analytics
dt_168,Tata Consultancy Services,Associate,100,IT Services and IT Consulting ,Class2,CommVault
dt_169,Godrej & Boyce Mfg. Co. Ltd.,Mid-Senior level,100,IT Services and IT Consulting ,Class2,Power Electronics
dt_170,LTIMindtree,Associate,100,Airlines and Aviation ,Class2,unknown
dt_171,Great Learning,Associate,51,IT Services and IT Consulting ,Class1,unknown
dt_172,Purplle.com,Associate,100,IT Services and IT Consulting ,Class3,Recruiting
dt_173,Chakr Innovation,Mid-Senior level,100,IT Services and IT Consulting ,Class2,Power Systems
dt_174,H&M,Mid-Senior level,74,Staffing and Recruiting ,Class2,Merchandising
dt_175,BluSmart,Mid-Senior level,100,Business Consulting and Services ,Class3,Health and Safety Executive (HSE)
dt_176,Unicommerce,Mid-Senior level,100,IT Services and IT Consulting ,Class2,NoSQL
dt_177,Tata Consultancy Services,Mid-Senior level,68,IT Services and IT Consulting ,Class2,SAP Basis
dt_178,Infosys,Mid-Senior level,100,Telecommunications ,Class2,Contract Management
dt_179,Lowe's India,Mid-Senior level,2,Software Development ,Class4,User Stories
dt_180,Meril,Associate,39,Public Safety ,Class2,Computer-Aided Design (CAD)
dt_181,Havas Media Network,Associate,6,Financial Services ,Class2,Post Campaign Analysis
dt_182,EXL,Mid-Senior level,100,Semiconductor Manufacturing ,Class5,Analytics
dt_183,Redrob by McKinley Rice,Mid-Senior level,57,IT Services and IT Consulting ,Class5,unknown
dt_184,Tata Consultancy Services,Mid-Senior level,18,IT Services and IT Consulting ,Class2,Microsoft Power BI
dt_185,Milliman,Internship,100,E-Learning Providers ,Class5,Problem Solving
dt_186,EY,Mid-Senior level,100,Financial Services ,Class2,Resolving Issues
dt_187,TEKsystems,Mid-Senior level,42,Engineering Services ,Class2,Java
dt_188,Tata Consultancy Services,Associate,100,IT Services and IT Consulting ,Class2,SAP Materials Management (SAP MM)
dt_189,Quick Heal,Mid-Senior level,52,IT Services and IT Consulting ,Class2,C++
dt_190,Jupiter,Mid-Senior level,100,,Class1,Product Strategy
dt_191,3M,Mid-Senior level,100,E-Learning Providers ,Class4,DevOps
dt_192,LTIMindtree,Mid-Senior level,100,Airlines and Aviation ,Class2,Microsoft Excel
dt_193,Unacademy,Entry level,100,IT Services and IT Consulting ,Class3,unknown
