,Company,Designation,Location
202,Quizizz,Graphic Design Consultant,"Bengaluru, Karnataka, India (On-site)"
203,GenXHire Services Private Limited,Payroll Executive,"Mumbai, Maharashtra, India (On-site)"
204,Birlasoft,Oracle GTM Cloud,"Delhi, India (Hybrid)"
205,Coforge,MS SQL Server DBA with Azure,"Gautam Buddha Nagar, Uttar Pradesh, India (On-site)"
206,Tata Consultancy Services,Informatica Cloud(IICS),"Chennai, Tamil Nadu, India (On-site)"
207,Axis Mutual Fund,Relationship Manager - Family Office,"Mumbai, Maharashtra, India (On-site)"
208,Adani Enterprises Limited,Technical Auditor - MAAS,"Ahmedabad, Gujarat, India (On-site)"
209,Godrej Agrovet Limited,Assistant Manager Technology Transfer,"Mahad, Maharashtra, India (On-site)"
210,ALTEN India,Deputy Principal Engineer/ Lead Engineer - Repair Engineer,"Bengaluru, Karnataka, India (On-site)"
211,System Soft Technologies,SAP Plant Maintenance,"Hyderabad, Telangana, India (On-site)"
212,Novo Nordisk,Programme Manager,"Bengaluru, Karnataka, India (On-site)"
213,BDO in India,Manager,Mumbai Metropolitan Region (On-site)
214,Innomotics,Cost and Value Engineer - Key Expert,"Navi Mumbai, Maharashtra, India (Hybrid)"
215,SGS & Co,Prepress QC Executive,"Mumbai, Maharashtra, India (On-site)"
216,Sodexo Benefits and Rewards Services,Technical Lead(Dot Net),"Mumbai, Maharashtra, India (Hybrid)"
217,DIGI - MAA,Copywriter,"Ahmedabad, Gujarat, India (On-site)"
218,Tata Consultancy Services,TSM Backup Admin,"Kochi, Kerala, India (On-site)"
219,Zivame,Designer - Sleepwear/Loungewear,"Bangalore Urban, Karnataka, India (On-site)"
220,Edumilestones.com,Content Writer Intern,"Bengaluru, Karnataka, India (On-site)"
221,Infosys,IP Counsel / Senior IP Counsel,"Bengaluru, Karnataka, India (On-site)"
222,EVANS ELECTRIC LIMITED,Coil & Winding shop supervisor,"Palghar, Maharashtra, India (On-site)"
223,Grand Estancia,Reservation Associate,"Salem, Tamil Nadu, India (On-site)"
224,Randstad India,Azure Cosmos Data Architecture,"Bengaluru, Karnataka, India (On-site)"
225,Accenture in India,Application Lead,Greater Kolkata Area (Hybrid)
226,Sri Siddha Sanmarga,Senior Content Writer,"Hyderabad, Telangana, India (On-site)"
227,Unilactic Enterprises,3D Printing Engineer,"Mumbai, Maharashtra, India (On-site)"
228,Schbang,Tech Communication Executive,Mumbai Metropolitan Region (On-site)
229,Ingersoll Rand,Document Controller,"Ahmedabad, Gujarat, India (On-site)"
230,Tata Consultancy Services,SAP EWM,"Hyderabad, Telangana, India (On-site)"
231,Sunfox Technologies,Senior Computer Aided Design Designer,"Dehradun, Uttarakhand, India (On-site)"
232,Axalta,OCM Lead,"Gurugram, Haryana, India (On-site)"
233,Seventh Sky Tours and Travels - India,Holiday Packages,Mumbai Metropolitan Region (On-site)
234,Vedanta Sesa Goa,Head Mining Operations,"Chitradurga, Karnataka, India (On-site)"
235,GE Aerospace,Lead Engineer - Emerging Technologies,"Bengaluru, Karnataka, India (On-site)"
236,STL Digital,SAP MM Lead,"Bhubaneswar, Odisha, India (Hybrid)"
237,IBM,DevOps Engineer,"Kochi, Kerala, India (On-site)"
238,Vecmocon Technologies,Graphic Designer,"New Delhi, Delhi, India (On-site)"
239,L&T Semiconductor Technologies,Director Business Program Management,"Bengaluru, Karnataka, India (On-site)"
